libqrtr-glib 1.0.0-1
libraqm 0.7.2-2
libraw1394 2.1.2-3
librsvg 2:2.52.0-1
libsamplerate 0.2.2-1
libsasl 2.1.27-3
libseccomp 2.5.2-1
libsecret 0.20.4-1
libshout 1:2.4.5-1
libsidplay 1.36.59-10
libsigc++ 2.10.7-2
libsm 1.2.3-2
libsmbios 2.4.3-3
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.74.0-3
libsoup3 3.0.1-1
libsoxr 0.1.3-2
libsrtp 1:2.4.0-1
libssh 0.9.6-1
libssh2 1.10.0-1
libstemmer 2.1.0-1
libtasn1 4.17.0-1
libteam 1.31-3
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtool 2.4.6+42+gb88cebd5-16
libunistring 0.9.10-3
libunwind 1.5.0-1
libusb 1.0.24-2
libusb-compat 0.1.7-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libutf8proc 2.6.1-1
libuv 1.42.0-1
libva 2.13.0-1
libva-intel-driver 2.4.1-1
libva-mesa-driver 21.2.3-1
libva-utils 2.12.0-1
libva-vdpau-driver 0.7.4-5
libvdpau 1.4-1
libvdpau-va-gl 0.4.2-3
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.10.0-1
libwacom 1.12-1
libwebp 1.2.1-2
libwpe 1.10.1-1
libx11 1.7.2-1
libx86emu 3.2-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.26-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2
libxml2 2.9.12-2
libxmlb 0.3.2-1
libxmu 1.1.3-2
libxnvctrl 470.74-1
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-6
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
licenses 20200427-1
lilv 0.24.12-1
linux-api-headers 5.12.3-1
linux-firmware 20210919.d526e04-1
linux-wifi-hotspot 4.2.0-1
linux-zen 5.14.9.zen2-1
linux-zen-headers 5.14.9.zen2-1
linuxconsole 1.7.1-1
llvm-libs 12.0.1-4
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lockdown-ms 20130326-4
logrotate 3.18.1-1
lrzip 0.641-1
lsb-release 1.4-18
lua 5.4.3-1
luit 20201003-1
lvm2 2.03.13-1
lxappearance-gtk3 0.6.3-4
lxinput-gtk3 0.3.5-3
lxmenu-data 0.1.5-3
lxrandr 0.3.2-2
lxsession 1:0.5.5-1
lxtask-gtk3 0.1.10-1
lz4 1:1.9.3-2
lzip 1.22-1
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.13-1
mcfly 0.5.9-1
md4c 0.4.8-1
mdadm 4.1-2
media-player-info 24-2
memavaild 0.6-1
memtest86+ 5.31b-1
menu-cache 1.1.0-2
mercurial 5.9.1-2
mesa 21.2.3-1
mesa-demos 8.4.0-4
mesa-vdpau 21.2.3-1
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db-garuda-git r61.baa0ea8-1
mhwd-garuda-git r20.dc8eff1-1
mhwd-nvidia 470.74-1
mhwd-nvidia-390xx 390.143-1
micro 2.0.10-2
mjpegtools 2.2.1-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mkinitcpio-systemd-tool 36-1
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
modem-manager-gui 0.0.20-2
modemmanager 1.18.2-1
mousetweaks 3.32.0-2
mpfr 4.1.0.p13-1
mpg123 1.29.0-1
mtdev 1.1.6-1
mtools 1:4.0.35-1
nano 5.8-1
ncurses 6.2-2
ndctl 71.1-1
neard 0.16-2
neofetch-git 7.1.0.r63.g6dd85d67-1
neon 0.32.1-1
nerd-fonts-fantasque-sans-mono 2.1.0-1
net-tools 2.10-1
nettle 3.7.3-1
network-manager-applet 1.24.0-1
network-manager-sstp 1.2.6-4
networkmanager 1.32.12-1
networkmanager-fortisslvpn 1.4rc1-4
networkmanager-openconnect 1.2.7dev+65+gca4187c-1
networkmanager-openvpn 1.8.16-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
networkmanager-strongswan 1.5.2-2
networkmanager-support 1-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.4-1
nfsidmap 2.5.4-1
nftables 1:1.0.0-1
nilfs-utils 2.2.8-2
nlohmann-json 3.10.2-1
nm-cloud-setup 1.32.12-1
nm-connection-editor 1.24.0-1
nohang 0.2.0-1
noto-fonts 20201226-2
noto-fonts-cjk 20201206-3
noto-fonts-emoji 20210625-1
npth 1.6-3
nspr 4.32-1
nss 3.71-1
nss-mdns 0.15.1-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
numlockx 1.2-5
nvidia-dkms 470.74-1
nvidia-prime 1.0-4
nvidia-settings 470.74-1
nvidia-utils 470.74-1
nwg-launchers 0.6.3-1
ocl-icd 2.3.1-1
openal 1.21.1-1
opencl-mesa 21.2.3-1
opencl-nvidia 470.74-1
openconnect 1:8.10-1
opencore-amr 0.1.5-5
openexr 3.1.2-1
openfortivpn 1.17.1-1
openjpeg2 2.4.0-1
openldap 2.4.59-2
openmpi 4.1.1-2
openresolv 3.12.0-1
openssh 8.8p1-1
openssl 1.1.1.l-1
openvpn 2.5.4-1
optimus-manager 1.4-2
optimus-manager-qt 1.6.4-1
opus 1.3.1-2
orc 0.4.32-1
os-prober-btrfs 1.79-3
p11-kit 0.24.0-1
p7zip 1:17.04-3
pace 1.4.1.1-2
pacman 6.0.1-2
pacman-contrib 1.4.0-4
pacman-mirrorlist 20210822-1
pacutils 0.11.1-1
pahole 1.22-1
pam 1.5.2-1
pamac-aur 10.2.0-1
pambase 20210605-2
pango 1:1.48.10-1
pangomm 2.46.1-2
parallel 20200322-1
parted 3.4-2
paru 1.8.2-1
pasystray 0.7.1-2
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.37-1
pcsclite 1.9.4-1
performance-tweaks 2.0.0-1
perl 5.34.0-2
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-basedir 0.09-1
perl-file-desktopentry 0.22-8
perl-file-listing 6.14-2
perl-file-mimeinfo 0.30-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.12-1
perl-http-date 6.05-4
perl-http-message 6.33-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-ipc-system-simple 1.30-3
perl-libwww 6.57-1
perl-lwp-mediatypes 6.02-9
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
perl-xml-writer 0.625-7
picom-ibhagwan-git 1577_Next.296.g60eb00c_2021.02.08-1
pinentry 1.1.1-1
pipewire 1:0.3.38-1
pipewire-alsa 1:0.3.38-1
pipewire-jack 1:0.3.38-1
pipewire-media-session 1:0.3.38-1
pipewire-pulse 1:0.3.38-1
pipewire-support 1-6
pipewire-zeroconf 1:0.3.38-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
pkgconf 1.8.0-1
pkgfile 21-2
plasma-framework 5.86.0-1
playerctl 2.4.1-1
plymouth-git 0.9.5.r106.gbad6d41-1
plymouth-theme-garuda-purple r5.16806d2-1
polkit 0.119-1
polkit-qt5 0.114.0-1
popt 1.18-1
portaudio 1:19.7.0-1
powertop 2.14-1
ppp 2.4.9-1
pps-tools 1.0.2-1
pptpclient 1.10.0-2
preload 0.6.4-7
prelockd 0.9-1
procps-ng 3.3.17-1
profile-sync-daemon 6.44-2
psmisc 23.4-1
python 3.9.7-1
python-appdirs 1.4.4-3
python-beaker 1.11.0-6
python-cachecontrol 0.12.6-3
python-cairo 1.20.1-1
python-cairocffi 1.2.0-3
python-cffi 1.14.6-1
python-chardet 4.0.0-2
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.8-2
python-cycler 0.10.0-8
python-dateutil 2.8.2-1
python-distlib 0.3.3-1
python-distro 1.6.0-1
python-dnspython 1:2.1.0-1
python-gobject 3.40.1-1
python-html5lib 1.1-6
python-idna 3.2-1
python-injector 0.18.4-1
python-kiwisolver 1.3.2-1
python-mako 1.1.5-1
python-markdown 3.3.4-1
python-markupsafe 2.0.1-1
python-matplotlib 3.4.3-1
python-more-itertools 8.10.0-1
python-msgpack 1.0.2-2
python-numpy 1.21.2-1
python-ordered-set 4.0.2-3
python-packaging 20.9-2
python-peewee 3.14.4-1
python-pep517 0.11.0-1
python-pillow 8.3.2-1
python-pip 20.3.4-1
python-ply 3.11-7
python-prctl 1.8.1-1
python-progress 1.5-5
python-psutil 5.8.0-1
python-py3nvml 0.2.6-1
python-pycparser 2.20-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyxdg 0.27-1
python-requests 2.26.0-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-rx 3.2.0-1
python-setuptools 1:57.4.0-2
python-six 1.16.0-1
python-toml 0.10.2-3
python-tomli 1.2.1-1
python-typing_extensions 3.10.0.2-1
python-urllib3 1.26.6-1
python-webencodings 0.5.1-6
python-xcffib 0.11.1-1
python-xlib 0.31-1
qhull 2020.2-4
qt5-base 5.15.2+kde+r237-1
qt5-charts 5.15.2-1
qt5-declarative 5.15.2+kde+r32-1
qt5-graphicaleffects 5.15.2-1
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2+kde+r8-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-wayland 5.15.2+kde+r33-1
qt5-x11extras 5.15.2-1
qt5ct 1.5-1
qtile 0.18.1-3
raptor 2.0.15-16
rav1e 0.4.1-1
readline 8.1.001-1
realtime-privileges 3-1
rebuild-detector 4.1.6-2
reflector 2021.7.8-1
reflector-simple 2.0-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rp-pppoe 3.15-2
rpcbind 1.2.6-1
rsync 3.2.3-4
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
run-parts 5.5-1
rustup 1.24.3-1
sbc 1.5-2
sddm 0.19.0-7
sdl2 2.0.16-3
sed 4.8-1
serd 0.30.10-1
serf 1.3.9-5
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
smbclient 4.15.0-1
snap-pac 3.0.1-1
snapper 0.9.1-1
snapper-support 1.0.1-1
sof-firmware 1.8-1
solid 5.86.0-1
sonnet 5.86.0-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
spandsp 0.0.6-3
spdlog 1.9.2-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-llvm-translator 12.0.0-1
sqlite 3.36.0-1
squashfuse 0.1.104-2
sratom 0.6.8-1
srt 1.4.3-1
sshfs 3.7.2-2
sstp-client 1:1.0.15-1
stacer 1.1.0-1
starship 0.58.0-2
stoken 0.92-4
strongswan 5.9.3-1
subversion 1.14.1-3
